X,Y,ogc_fid,fid,osm_id,code,fclass,name
16.2698578,50.7733734,251,282,"8227325732",5602,railway_halt,Wałbrzych Centrum
15.9284738,51.297513,252,283,"8228580471",5602,railway_halt,Biała Górna
17.1142732,51.1224546,253,284,"8927458718",5602,railway_halt,Wrocław Popiele
17.1682097,51.0980421,254,285,"8927488123",5602,railway_halt,Wrocław Wojnów Wschodni
17.2194695,51.081793,255,286,"8927488125",5602,railway_halt,Nadolice Małe
17.2761383,51.073494,256,287,"8927488127",5602,railway_halt,Chrząstawa Mała
17.0142423,51.1229484,257,288,"9067487855",5602,railway_halt,Wrocław Szczepin
15.9120693,51.4164174,258,289,"9177835387",5602,railway_halt,Chocianów
16.1979745,51.2016802,259,290,"9218764911",5602,railway_halt,Legnica Piekary
17.068808,51.0546671,260,291,"9221292010",5602,railway_halt,Iwiny
17.0321678,51.069076,261,292,"9253142720",5602,railway_halt,Wrocław Wojszyce
16.9976665,51.0611197,262,293,"9253142730",5602,railway_halt,Wrocław Partynice
17.1456731,51.1098099,263,294,"9311389281",5602,railway_halt,Wrocław Strachocin
16.9529393,51.0100526,264,295,"9437421509",5602,railway_halt,Domasław
16.530161,50.8560357,265,296,"9437426217",5602,railway_halt,Pszenno
16.3446376,50.7211486,266,297,"9562419262",5602,railway_halt,Jedlina-Zdrój Centrum
15.4295162,50.8146295,267,298,"10258115266",5602,railway_halt,Polana Jakuszycka
17.0632874,51.3040435,268,299,"10308843617",5601,railway_station,Trzebnica
17.1096071,51.2088929,269,300,"10308843703",5602,railway_halt,Pasikurowice
16.8992341,50.9650919,270,301,"10572480527",5602,railway_halt,Wierzbice
16.8573067,50.9541305,271,302,"10572480528",5602,railway_halt,Pustków Żurawski
16.4733834,50.7934885,272,303,"10572804710",5602,railway_halt,Burkatów
16.4561321,50.7812879,273,304,"10572804752",5602,railway_halt,Bystrzyca Górna
16.4345415,50.7743072,274,305,"10572804799",5602,railway_halt,Lubachów
16.4036,50.7537361,275,306,"10572804866",5602,railway_halt,Zagórze Śląskie
16.405311,50.732126,276,307,"10572804904",5602,railway_halt,Jugowice
16.47937,50.8600642,277,308,"10574304735",5602,railway_halt,Świdnica Zawiszów
16.2176489,50.7276066,278,309,"10776551295",5602,railway_halt,Boguszów-Gorce Dzikowiec
16.1853138,51.1652386,279,310,"10864133221",5602,railway_halt,Legnica Strefa
16.8989781,50.536143,280,311,"10977746452",5601,railway_station,Kamieniec Ząbkowicki
16.224295,50.711112,281,312,"11015973335",5602,railway_halt,Unisław Śląski
16.3539942,50.6878683,282,313,"11015973336",5602,railway_halt,Głuszyca
16.3713884,50.6728472,283,314,"11015973337",5602,railway_halt,Głuszyca Górna
15.3435063,50.911427,284,315,"11252036715",5601,railway_station,Świeradów-Zdrój
15.801268,50.8781563,285,316,"11359355533",5602,railway_halt,Łomnica Dolna
15.3521135,50.9318348,286,317,"11374585673",5602,railway_halt,Orłowice
15.3616628,50.9475224,287,318,"11374585699",5602,railway_halt,Mroczkowice
15.3803284,50.9731622,288,319,"11374585708",5602,railway_halt,Mirsk
15.4245432,51.0100176,289,320,"11374585713",5602,railway_halt,Proszówka
15.7880189,50.8353309,290,321,"11380011571",5601,railway_station,Mysłakowice
17.1654675,51.1654921,291,322,"11407068398",5602,railway_halt,Mirków
15.763888,50.8098459,292,323,"11831904332",5602,railway_halt,Miłków
16.5160392,50.588421,293,324,"12082777801",5602,railway_halt,Nowa Ruda Przedmieście
16.4968105,50.5772987,294,325,"12082778097",5601,railway_station,Nowa Ruda
17.2687145,50.9450241,295,326,"12381011597",5602,railway_halt,Oława Zachodnia
16.8498623,50.7900344,296,327,"12520400866",5602,railway_halt,Łagiewniki
16.844227,50.7497501,297,328,"12520400894",5602,railway_halt,Wilków Wielki
16.8372104,50.7149755,298,329,"12520409304",5602,railway_halt,Niemcza
16.8196526,50.689176,299,330,"12520409318",5602,railway_halt,Przerzeczyn Zdrój
16.4812966,50.6194709,300,331,"12810654076",5602,railway_halt,Ludwikowice Kłodzkie
15.7864094,50.8250794,301,332,"12871928025",5602,railway_halt,Mysłakowice Orzeł
15.7977812,50.8623742,302,333,"12871928034",5602,railway_halt,Łomnica
15.7944056,50.8868226,303,334,"12871928054",5602,railway_halt,Łomnica Średnia
16.2546327,51.2150066,304,335,"12918903149",5602,railway_halt,Kunice
16.5095759,50.6120549,305,336,"13046830236",5602,railway_halt,Nowa Ruda Zdrojowisko
16.6207799,50.6927768,306,338,"13261841200",5602,railway_halt,Bielawa Centralna
